Tanggal,ticket_sales
2023-03-01,52483
2023-03-02,49308
2023-03-03,53238
2023-03-04,57615
2023-03-05,48829
2023-03-06,48829
2023-03-07,57896
2023-03-08,53837
2023-03-09,47652
2023-03-10,52712
2023-03-11,47682
2023-03-12,47671
2023-03-13,51209
2023-03-14,40433
2023-03-15,41375
2023-03-16,47188
2023-03-17,44935
2023-03-18,51571
2023-03-19,45459
2023-03-20,60113
2023-03-21,80259
2023-03-22,68419
2023-03-23,70472
2023-03-24,60026
2023-03-25,66189
2023-03-26,70776
2023-03-27,61943
2023-03-28,72629
2023-03-29,65795
2023-03-30,67958
2023-03-31,65788
2023-04-01,82965
2023-04-02,69905
2023-04-03,62596
2023-04-04,75757
2023-04-05,61454
2023-04-06,51044
2023-04-07,40201
2023-04-08,43359
2023-04-09,50984
2023-04-10,53692
2023-04-11,50856
2023-04-12,49421
2023-04-13,48494
2023-04-14,42607
2023-04-15,46400
2023-04-16,47696
2023-04-17,55285
2023-04-18,51718
2023-04-19,41184
2023-04-20,51620
2023-04-21,48074
2023-04-22,46615
2023-04-23,53058
2023-04-24,55154
2023-04-25,54656
2023-04-26,45803
2023-04-27,48453
2023-04-28,51656
2023-04-29,54877
2023-04-30,47604
2023-05-01,49071
2023-05-02,44468
2023-05-03,44018
2023-05-04,54062
2023-05-05,56781
2023-05-06,49639
2023-05-07,55017
2023-05-08,51808
2023-05-09,46774
2023-05-10,51806
2023-05-11,57690
2023-05-12,49820
2023-05-13,57823
2023-05-14,36901
2023-05-15,54109
2023-05-16,50435
2023-05-17,48504
2023-05-18,50458
2023-05-19,40062
2023-05-20,48901
2023-05-21,51785
2023-05-22,57389
2023-05-23,47408
2023-05-24,45957
2023-05-25,47491
2023-05-26,54577
2023-05-27,51643
2023-05-28,47351
2023-05-29,52566
2023-05-30,50485
2023-05-31,54843
2023-06-01,46489
2023-06-02,48361
2023-06-03,48039
2023-06-04,42682
2023-06-05,51480
2023-06-06,51305
2023-06-07,50025
2023-06-08,48827
2023-06-09,42923
2023-06-10,47896
2023-06-11,48286
2023-06-12,45988
2023-06-13,49193
2023-06-14,52020
2023-06-15,59430
2023-06-16,50872
2023-06-17,51287
2023-06-18,49627
2023-06-19,40406
2023-06-20,49867
2023-06-21,50301
2023-06-22,62316
2023-06-23,49038
2023-06-24,51507
2023-06-25,49826
2023-06-26,44156
2023-06-27,55714
2023-06-28,53759
2023-06-29,53955
2023-06-30,45453
2023-07-01,57013
2023-07-02,42990
2023-07-03,52934
2023-07-04,60952
2023-07-05,45047
2023-07-06,47168
2023-07-07,50498
2023-07-08,47482
2023-07-09,42246
2023-07-10,50342
2023-07-11,44688
2023-07-12,52367
2023-07-13,45402
2023-07-14,57749
2023-07-15,46083
2023-07-16,48389
2023-07-17,54067
2023-07-18,43845
2023-07-19,51137
2023-07-20,56535
2023-07-21,41962
2023-07-22,50923
2023-07-23,51299
2023-07-24,53909
2023-07-25,43815
2023-07-26,43397
2023-07-27,52609
2023-07-28,51484
2023-07-29,51252
2023-07-30,51732
2023-07-31,46599
2023-08-01,51161
2023-08-02,51465
2023-08-03,46428
2023-08-04,59328
2023-08-05,52369
2023-08-06,44043
2023-08-07,53282
2023-08-08,45126
2023-08-09,53935
2023-08-10,55792
2023-08-11,45896
2023-08-12,54816
2023-08-13,52063
2023-08-14,54110
2023-08-15,59483
2023-08-16,48773
2023-08-17,46231
2023-08-18,45552
2023-08-19,45920
2023-08-20,49614
2023-08-21,51705
2023-08-22,51383
2023-08-23,54135
2023-08-24,50065
2023-08-25,57267
2023-08-26,48676
2023-08-27,63600
2023-08-28,53128
2023-08-29,45714
2023-08-30,44645
2023-08-31,52412
2023-09-01,48882
2023-09-02,53570
2023-09-03,52366
2023-09-04,49635
2023-09-05,45766
2023-09-06,42425
2023-09-07,47767
2023-09-08,54281
2023-09-09,51070
2023-09-10,43771
2023-09-11,50865
2023-09-12,51926
2023-09-13,45580
2023-09-14,50768
2023-09-15,50291
2023-09-16,44285
2023-09-17,51788
2023-09-18,52803
2023-09-19,55415
2023-09-20,55269
2023-09-21,43111
2023-09-22,45310
2023-09-23,52575
2023-09-24,52568
2023-09-25,52575
2023-09-26,69263
2023-09-27,52854
2023-09-28,55677
2023-09-29,54770
2023-09-30,53256
2023-10-01,48423
2023-10-02,53794
2023-10-03,46135
2023-10-04,48815
2023-10-05,47573
2023-10-06,50409
2023-10-07,61573
2023-10-08,40663
2023-10-09,53431
2023-10-10,41936
2023-10-11,47640
2023-10-12,55444
2023-10-13,50321
2023-10-14,44611
2023-10-15,46423
2023-10-16,53397
2023-10-17,46348
2023-10-18,51082
2023-10-19,50227
2023-10-20,46741
2023-10-21,60719
2023-10-22,53169
2023-10-23,39874
2023-10-24,50932
2023-10-25,46691
